rank,player,team,league,pos_group,age,minutes,breakout_score,league_factor,overall,potential,ceiling,value_eur,npxg90,xa90,npga90,shots90,kp90,xgchain90,xgbuildup90,z_npxg90,z_xa90,z_npga90,z_shots90,z_kp90,z_xgchain90,z_xgbuildup90
347,Oliver Nielsen,Lazio,ITA-Serie A,DF,22,1536,-0.5,0.928,,,,,0.039,0.039,0.0,0.352,0.234,0.273,0.239,-0.381,-0.31,-1.078,-0.653,-0.63,-0.258,-0.192
348,Rassoul Ndiaye,Le Havre,FRA-Ligue 1,MF,23,2566,-0.504,0.815,71.0,76.0,5.0,2800000.0,0.108,0.098,0.281,1.193,1.017,0.328,0.173,-0.379,-0.597,0.027,-0.422,-0.506,-0.813,-0.835
349,Matteo Cancellieri,Lazio,ITA-Serie A,FW,23,1725,-0.506,0.928,74.0,79.0,5.0,6500000.0,0.272,0.1,0.313,2.139,0.939,0.451,0.095,-0.653,-0.409,-0.632,-0.397,-0.228,-0.552,-0.669
350,Bamo Meïté,Lorient,FRA-Ligue 1,DF,23,1979,-0.507,0.815,75.0,79.0,4.0,7000000.0,0.04,0.056,0.136,0.364,0.318,0.174,0.155,-0.478,-0.119,0.353,-0.752,-0.522,-1.056,-0.972
351,Thomas Kristensen,Udinese,ITA-Serie A,DF,23,2472,-0.515,0.928,73.0,81.0,8.0,6500000.0,0.068,0.008,0.109,0.4,0.109,0.164,0.149,0.309,-0.857,0.226,-0.501,-0.928,-0.981,-0.872
352,Castrin,Sevilla,ESP-La Liga,DF,22,1277,-0.52,0.899,,,,,0.039,0.007,0.07,0.775,0.141,0.168,0.16,-0.4,-0.879,-0.263,0.587,-0.863,-0.994,-0.83
353,Lorenzo Colombo,Genoa,ITA-Serie A,FW,23,2326,-0.526,0.928,72.0,79.0,7.0,4700000.0,0.305,0.072,0.271,2.554,0.735,0.403,0.126,-0.446,-0.763,-0.847,0.154,-0.65,-0.792,-0.34
354,Amadou Onana,Aston Villa,ENG-Premier League,MF,23,1758,-0.53,1.0,81.0,84.0,3.0,32000000.0,0.142,0.026,0.102,0.973,0.358,0.349,0.272,0.184,-1.233,-0.75,-0.42,-1.347,-0.373,0.229
355,Brian Brobbey,Sunderland,ENG-Premier League,FW,23,1927,-0.534,1.0,77.0,83.0,6.0,17000000.0,0.332,0.07,0.374,1.681,0.701,0.434,0.075,-0.106,-0.719,-0.177,-0.833,-0.609,-0.471,-0.825
356,Mariano Troilo,Parma,ITA-Serie A,DF,22,1625,-0.538,0.928,66.0,78.0,12.0,2000000.0,0.054,0.036,0.055,0.498,0.388,0.124,0.098,-0.026,-0.354,-0.416,-0.197,-0.265,-1.252,-1.259
357,Jeff Ekhator,Genoa,ITA-Serie A,FW,18,956,-0.54,0.928,67.0,78.0,11.0,2200000.0,0.3,0.082,0.282,1.883,0.941,0.456,0.122,-0.475,-0.644,-0.788,-0.738,-0.223,-0.527,-0.387
358,Jobe Bellingham,Dortmund,GER-Bundesliga,MF,19,1786,-0.54,0.887,77.0,83.0,6.0,16000000.0,0.05,0.039,0.05,0.957,0.454,0.484,0.427,-0.837,-1.13,-1.105,-0.599,-1.269,0.06,1.096
359,Roberto Férnandez,Espanyol,ESP-La Liga,FW,23,2382,-0.544,0.899,74.0,80.0,6.0,7000000.0,0.323,0.119,0.34,2.229,0.68,0.459,0.078,-0.392,-0.217,-0.549,-0.37,-0.808,-0.586,-0.883
360,Otavio Ataide,Paris FC,FRA-Ligue 1,DF,23,1901,-0.544,0.815,74.0,79.0,5.0,6000000.0,0.027,0.008,0.047,0.568,0.189,0.28,0.272,-0.733,-0.875,-0.581,-0.195,-0.792,-0.44,-0.192
361,Chemsdine Talbi,Sunderland,ENG-Premier League,MF,20,1561,-0.544,1.0,76.0,86.0,10.0,16500000.0,0.134,0.035,0.288,1.441,0.692,0.186,0.069,0.101,-1.129,0.393,0.256,-0.751,-1.253,-1.426
362,Joel Fujita,St Pauli,GER-Bundesliga,MF,23,2665,-0.544,0.887,72.0,77.0,5.0,3500000.0,0.048,0.147,0.135,1.081,1.013,0.327,0.164,-0.858,0.005,-0.643,-0.441,-0.382,-0.692,-0.801
363,Tom Rothe,Union Berlin,GER-Bundesliga,MF,20,1029,-0.545,0.887,73.0,81.0,8.0,6500000.0,0.14,0.079,0.175,1.662,0.962,0.189,0.114,-0.002,-0.709,-0.425,0.303,-0.463,-1.355,-1.163
364,Kévin Danois,Auxerre,FRA-Ligue 1,MF,21,2830,-0.55,0.815,75.0,83.0,8.0,12500000.0,0.068,0.147,0.127,0.795,1.654,0.292,0.175,-0.724,-0.122,-0.742,-0.889,0.421,-0.971,-0.824
365,Finn Jeltsch,Stuttgart,GER-Bundesliga,DF,19,1511,-0.556,0.887,74.0,87.0,13.0,9000000.0,0.012,0.006,0.06,0.179,0.298,0.318,0.308,-1.037,-0.899,-0.398,-1.214,-0.51,-0.054,0.225
366,Abdulai Juma Bah,Nice,FRA-Ligue 1,DF,19,1958,-0.557,0.815,73.0,81.0,8.0,6000000.0,0.052,0.072,0.0,0.322,0.276,0.243,0.213,-0.223,0.122,-1.078,-0.867,-0.611,-0.652,-0.587
367,Filippo Terracciano,Cremonese,ITA-Serie A,DF,22,3011,-0.561,0.928,71.0,80.0,9.0,3900000.0,0.07,0.019,0.06,0.418,0.329,0.126,0.112,0.341,-0.661,-0.364,-0.445,-0.405,-1.238,-1.153
368,Pablo Marín,Real Sociedad,ESP-La Liga,MF,22,1502,-0.563,0.899,73.0,82.0,9.0,7000000.0,0.075,0.111,0.06,0.779,0.779,0.422,0.246,-0.597,-0.356,-1.048,-0.813,-0.736,-0.208,-0.182
369,Chrislain Matsima,Augsburg,GER-Bundesliga,DF,23,1489,-0.575,0.887,77.0,85.0,8.0,22000000.0,0.034,0.035,0.121,0.423,0.242,0.136,0.13,-0.531,-0.4,0.302,-0.489,-0.638,-1.21,-1.058
370,Hugo Bueno,Wolves,ENG-Premier League,MF,22,2366,-0.578,1.0,75.0,80.0,5.0,8000000.0,0.034,0.14,0.114,0.609,1.445,0.211,0.111,-0.943,0.12,-0.678,-0.946,0.595,-1.119,-1.077
371,Matteo Prati,Torino,ITA-Serie A,MF,21,1882,-0.578,0.928,72.0,81.0,9.0,5000000.0,0.08,0.081,0.096,1.482,0.622,0.29,0.204,-0.522,-0.646,-0.834,0.161,-0.957,-0.807,-0.445
372,Ilaix Moriba,Celta Vigo,ESP-La Liga,MF,22,2495,-0.579,0.899,78.0,83.0,5.0,21500000.0,0.064,0.091,0.18,0.649,0.613,0.4,0.257,-0.696,-0.573,-0.382,-0.982,-1.002,-0.315,-0.104
373,Daniele Ghilardi,Roma,ITA-Serie A,DF,22,1097,-0.58,0.928,72.0,80.0,8.0,4900000.0,0.046,0.034,0.0,0.246,0.328,0.231,0.204,-0.217,-0.392,-1.078,-0.98,-0.407,-0.535,-0.454
374,Ifechukwu Ogbus,Freiburg,GER-Bundesliga,DF,19,1177,-0.583,0.887,,,,,0.06,0.002,0.0,0.382,0.076,0.28,0.253,0.052,-0.967,-1.078,-0.61,-1.014,-0.292,-0.172
375,Elye Wahi,Nice,FRA-Ligue 1,FW,22,922,-0.596,0.815,74.0,81.0,7.0,8500000.0,0.339,0.078,0.488,2.245,0.781,0.473,0.103,-0.489,-0.814,-0.045,-0.62,-0.752,-0.73,-0.722
376,Ngal'Ayel Mukau,Lille,FRA-Ligue 1,MF,20,1534,-0.6,0.815,74.0,82.0,8.0,8500000.0,0.151,0.03,0.059,1.173,0.763,0.401,0.293,-0.012,-1.249,-1.085,-0.444,-0.877,-0.491,-0.039
377,Willem Geubbels,Paris FC,FRA-Ligue 1,FW,23,1013,-0.602,0.815,72.0,77.0,5.0,3600000.0,0.453,0.048,0.355,2.665,0.622,0.529,0.081,0.15,-1.146,-0.637,-0.129,-1.041,-0.486,-0.923
378,Samir El Mourabet,Strasbourg,FRA-Ligue 1,MF,19,2128,-0.602,0.815,73.0,82.0,9.0,6500000.0,0.016,0.115,0.127,0.508,1.184,0.415,0.307,-1.165,-0.433,-0.744,-1.227,-0.263,-0.43,0.049
379,Tiago Gabriel,Lecce,ITA-Serie A,DF,20,3219,-0.605,0.928,69.0,77.0,8.0,2900000.0,0.111,0.001,0.056,0.559,0.056,0.07,0.068,1.32,-0.989,-0.41,-0.008,-1.055,-1.606,-1.484
380,Haissem Hassan,Oviedo,ESP-La Liga,MF,23,1942,-0.606,0.899,73.0,79.0,6.0,4800000.0,0.091,0.083,0.139,1.576,0.881,0.25,0.116,-0.445,-0.652,-0.611,0.22,-0.573,-1.045,-1.136
381,Samuele Angori,Pisa,ITA-Serie A,MF,21,2599,-0.611,0.928,71.0,78.0,7.0,3800000.0,0.046,0.134,0.069,0.485,1.316,0.279,0.194,-0.856,-0.072,-0.984,-1.175,0.194,-0.859,-0.522
382,Kristjan Asllani,Torino,ITA-Serie A,MF,23,1129,-0.611,0.928,,,,,0.032,0.09,0.0,1.594,1.275,0.214,0.182,-0.99,-0.549,-1.379,0.311,0.127,-1.188,-0.609
383,Jon Gorrotxategi,Real Sociedad,ESP-La Liga,MF,23,2210,-0.612,0.899,77.0,85.0,8.0,22500000.0,0.037,0.04,0.163,0.529,0.733,0.391,0.348,-0.954,-1.11,-0.479,-1.137,-0.81,-0.358,0.561
384,Ayyoub Bouaddi,Lille,FRA-Ligue 1,MF,17,2321,-0.614,0.815,78.0,86.0,8.0,27000000.0,0.041,0.078,0.039,0.62,0.814,0.468,0.408,-0.947,-0.789,-1.185,-1.094,-0.802,-0.2,0.72
385,Jacques Ekomie,Angers,FRA-Ligue 1,DF,21,2239,-0.622,0.815,72.0,79.0,7.0,4500000.0,0.041,0.056,0.0,0.523,0.482,0.189,0.115,-0.449,-0.124,-1.078,-0.319,-0.179,-0.97,-1.234
386,Arsène Kouassi,Lorient,FRA-Ligue 1,MF,20,2605,-0.623,0.815,74.0,82.0,8.0,9000000.0,0.022,0.17,0.276,0.311,1.106,0.286,0.22,-1.109,0.106,0.006,-1.458,-0.378,-0.999,-0.528
387,Kojo Peprah Oppong,Nice,FRA-Ligue 1,DF,21,2425,-0.637,0.815,72.0,79.0,7.0,4400000.0,0.049,0.022,0.037,0.371,0.223,0.232,0.204,-0.295,-0.659,-0.689,-0.732,-0.722,-0.719,-0.644
388,Archie Gray,Tottenham,ENG-Premier League,MF,19,1478,-0.64,1.0,77.0,86.0,9.0,21500000.0,0.097,0.101,0.244,0.67,0.487,0.217,0.132,-0.288,-0.343,0.118,-0.857,-1.117,-1.084,-0.91
389,Sergi Altimira,Real Betis,ESP-La Liga,MF,23,1186,-0.642,0.899,,,,,0.038,0.042,0.228,0.531,0.835,0.328,0.285,-0.937,-1.09,-0.121,-1.135,-0.647,-0.667,0.102
390,Juan Rodríguez,Cagliari,ITA-Serie A,DF,20,1310,-0.644,0.928,71.0,78.0,7.0,3400000.0,0.082,0.0,0.069,0.206,0.0,0.176,0.174,0.637,-1.003,-0.257,-1.104,-1.188,-0.904,-0.685
391,Jeanuël Belocian,Leverkusen,GER-Bundesliga,DF,20,1546,-0.648,0.887,70.0,81.0,11.0,3300000.0,0.025,0.027,0.058,0.233,0.233,0.241,0.196,-0.745,-0.541,-0.413,-1.053,-0.658,-0.54,-0.581
392,Kieron Bowie,Hellas Verona,ITA-Serie A,FW,22,1200,-0.652,0.928,67.0,75.0,8.0,2300000.0,0.307,0.033,0.3,2.475,0.9,0.384,0.062,-0.428,-1.263,-0.699,0.049,-0.309,-0.89,-1.025
393,Jordy Makengo,Freiburg,GER-Bundesliga,DF,23,1178,-0.656,0.887,72.0,76.0,4.0,3100000.0,0.0,0.056,0.076,0.0,0.382,0.23,0.227,-1.298,-0.055,-0.206,-1.744,-0.319,-0.61,-0.358
394,Lennon Miller,Udinese,ITA-Serie A,MF,18,996,-0.665,0.928,70.0,84.0,14.0,3700000.0,0.028,0.122,0.181,0.813,1.175,0.218,0.113,-1.031,-0.203,-0.348,-0.735,-0.04,-1.167,-1.134
395,Eric Martel,Köln,GER-Bundesliga,MF,23,2559,-0.67,0.887,76.0,81.0,5.0,10500000.0,0.064,0.072,0.141,0.809,0.492,0.346,0.276,-0.708,-0.779,-0.612,-0.789,-1.207,-0.599,0.007
396,Ibrahim Sulemana,Cagliari,ITA-Serie A,MF,22,905,-0.672,0.928,73.0,80.0,7.0,6000000.0,0.168,0.014,0.099,1.094,0.597,0.269,0.186,0.333,-1.381,-0.812,-0.359,-0.998,-0.909,-0.577
397,Rafel Obrador,Torino,ITA-Serie A,MF,21,1116,-0.676,0.928,,,,,0.014,0.085,0.323,0.565,0.887,0.226,0.168,-1.164,-0.603,0.461,-1.068,-0.517,-1.125,-0.718
398,Kareem Tunde,Levante,ESP-La Liga,MF,19,1133,-0.679,0.899,68.0,79.0,11.0,2600000.0,0.103,0.05,0.079,1.668,0.477,0.295,0.166,-0.333,-1.005,-0.94,0.34,-1.222,-0.826,-0.767
399,Yassin Belkhdim,Angers,FRA-Ligue 1,MF,23,2135,-0.679,0.815,72.0,79.0,7.0,4700000.0,0.097,0.064,0.169,1.391,0.632,0.317,0.192,-0.472,-0.917,-0.534,-0.188,-1.067,-0.865,-0.712
400,Lucien Agoume,Sevilla,ESP-La Liga,MF,23,2686,-0.68,0.899,76.0,82.0,6.0,11000000.0,0.028,0.107,0.134,0.503,0.905,0.324,0.231,-1.038,-0.401,-0.638,-1.172,-0.534,-0.687,-0.292
401,Marco Palestra,Cagliari,ITA-Serie A,MF,20,3081,-0.683,0.928,75.0,84.0,9.0,12000000.0,0.048,0.128,0.146,0.847,0.935,0.247,0.113,-0.831,-0.127,-0.546,-0.69,-0.438,-1.022,-1.13
402,Arouna Sangante,Le Havre,FRA-Ligue 1,DF,23,2324,-0.691,0.815,74.0,80.0,6.0,6000000.0,0.017,0.016,0.077,0.349,0.387,0.196,0.186,-0.946,-0.758,-0.266,-0.794,-0.378,-0.93,-0.761
403,Cher Ndour,Fiorentina,ITA-Serie A,MF,21,1876,-0.696,0.928,72.0,83.0,11.0,5000000.0,0.125,0.017,0.144,1.151,0.336,0.302,0.208,-0.084,-1.356,-0.558,-0.282,-1.431,-0.746,-0.414
404,Pau Navarro,Villarreal,ESP-La Liga,DF,20,1921,-0.699,0.899,74.0,83.0,9.0,8500000.0,0.003,0.02,0.0,0.094,0.187,0.327,0.308,-1.239,-0.65,-1.078,-1.462,-0.756,0.034,0.256
405,Hugo Larsson,Frankfurt,GER-Bundesliga,MF,21,1812,-0.701,0.887,77.0,85.0,8.0,23500000.0,0.071,0.059,0.199,0.646,0.944,0.28,0.187,-0.644,-0.92,-0.296,-0.998,-0.492,-0.918,-0.638
406,Sadibou Sané,Metz,FRA-Ligue 1,DF,21,1940,-0.707,0.815,70.0,81.0,11.0,3300000.0,0.014,0.013,0.139,0.278,0.139,0.196,0.196,-1.013,-0.805,0.382,-0.985,-0.897,-0.932,-0.701
407,Mikel Jauregizar,Athletic Club,ESP-La Liga,MF,21,2831,-0.711,0.899,80.0,86.0,6.0,33500000.0,0.045,0.05,0.064,1.24,0.89,0.282,0.216,-0.878,-1.005,-1.028,-0.216,-0.558,-0.888,-0.404
408,Ransford Königsdörffer,Hamburger SV,GER-Bundesliga,FW,23,2329,-0.711,0.887,70.0,77.0,7.0,3200000.0,0.284,0.05,0.232,2.512,0.773,0.404,0.109,-0.66,-1.076,-1.097,-0.049,-0.643,-0.877,-0.577
409,Abdoul Coulibaly,Werder Bremen,GER-Bundesliga,DF,18,2120,-0.715,0.887,,,,,0.048,0.008,0.042,0.255,0.297,0.171,0.161,-0.221,-0.863,-0.593,-0.988,-0.512,-0.989,-0.838
410,Christian Mawissa,Monaco,FRA-Ligue 1,DF,20,1191,-0.724,0.815,75.0,84.0,9.0,11500000.0,0.025,0.027,0.0,0.151,0.378,0.281,0.233,-0.792,-0.581,-1.078,-1.332,-0.398,-0.435,-0.455
411,Lesley Ugochukwu,Burnley,ENG-Premier League,MF,21,2336,-0.729,1.0,76.0,82.0,6.0,11000000.0,0.101,0.017,0.154,0.848,0.385,0.28,0.189,-0.243,-1.334,-0.432,-0.601,-1.299,-0.746,-0.445
412,Tim Iroegbunam,Everton,ENG-Premier League,MF,22,1487,-0.732,1.0,76.0,80.0,4.0,10000000.0,0.031,0.112,0.121,0.726,0.484,0.267,0.172,-0.976,-0.214,-0.635,-0.776,-1.122,-0.815,-0.583
413,Yehor Yarmoliuk,Brentford,ENG-Premier League,MF,21,2659,-0.736,1.0,77.0,83.0,6.0,15500000.0,0.047,0.043,0.102,0.542,0.474,0.314,0.268,-0.813,-1.035,-0.755,-1.043,-1.141,-0.56,0.196
414,Ousmane Camara,Angers,FRA-Ligue 1,DF,22,2718,-0.737,0.815,73.0,78.0,5.0,4200000.0,0.021,0.008,0.033,0.43,0.132,0.234,0.225,-0.86,-0.873,-0.731,-0.57,-0.911,-0.708,-0.503
415,Brooke Norton-Cuffy,Genoa,ITA-Serie A,MF,21,2212,-0.737,0.928,74.0,80.0,6.0,6500000.0,0.082,0.077,0.122,0.61,0.854,0.291,0.145,-0.507,-0.696,-0.683,-1.007,-0.571,-0.8,-0.893
416,Leon Avdullahu,Hoffenheim,GER-Bundesliga,MF,21,2834,-0.737,0.887,77.0,83.0,6.0,15500000.0,0.017,0.042,0.032,0.445,0.699,0.414,0.372,-1.145,-1.097,-1.206,-1.255,-0.88,-0.272,0.698
417,Ebenezer Akinsanmiro,Pisa,ITA-Serie A,MF,20,1444,-0.742,0.928,67.0,80.0,13.0,2400000.0,0.069,0.102,0.062,0.81,0.997,0.268,0.112,-0.627,-0.413,-1.024,-0.739,-0.334,-0.915,-1.139
418,Martin Vitík,Bologna,ITA-Serie A,DF,22,1325,-0.743,0.928,74.0,80.0,6.0,6000000.0,0.05,0.012,0.0,0.543,0.204,0.123,0.107,-0.12,-0.796,-1.078,-0.057,-0.703,-1.259,-1.187
419,Carlos Baleba,Brighton,ENG-Premier League,MF,21,1652,-0.744,1.0,80.0,86.0,6.0,31000000.0,0.031,0.044,0.0,1.09,0.49,0.319,0.251,-0.973,-1.015,-1.379,-0.252,-1.111,-0.535,0.058
420,Aljoscha Kemlein,Union Berlin,GER-Bundesliga,MF,20,1959,-0.744,0.887,74.0,79.0,5.0,6000000.0,0.064,0.072,0.092,0.781,0.643,0.32,0.23,-0.703,-0.781,-0.878,-0.824,-0.968,-0.727,-0.326
421,Rav van den Berg,Köln,GER-Bundesliga,DF,21,1131,-0.752,0.887,71.0,82.0,11.0,3800000.0,0.009,0.039,0.08,0.08,0.08,0.216,0.216,-1.107,-0.33,-0.17,-1.508,-1.007,-0.701,-0.44
422,César Tárrega,Valencia,ESP-La Liga,DF,23,2598,-0.757,0.899,75.0,82.0,7.0,10500000.0,0.023,0.003,0.0,0.381,0.069,0.234,0.232,-0.776,-0.949,-1.078,-0.598,-1.028,-0.564,-0.302
423,Danilo Veiga,Lecce,ITA-Serie A,DF,22,3020,-0.761,0.928,69.0,78.0,9.0,3000000.0,0.008,0.043,0.03,0.179,0.596,0.144,0.109,-1.117,-0.241,-0.722,-1.189,0.232,-1.115,-1.172
424,Jackson Tchatchoua,Wolves,ENG-Premier League,MF,23,1845,-0.762,1.0,74.0,79.0,5.0,6000000.0,0.005,0.109,0.049,0.146,1.024,0.294,0.203,-1.245,-0.243,-1.079,-1.613,-0.157,-0.669,-0.329
425,Omar El Hilali,Espanyol,ESP-La Liga,DF,21,2826,-0.77,0.899,75.0,81.0,6.0,8500000.0,0.0,0.054,0.064,0.032,0.541,0.162,0.127,-1.288,-0.07,-0.341,-1.648,0.061,-1.028,-1.071
426,Abdoulaye Faye,Lorient,FRA-Ligue 1,DF,20,1444,-0.77,0.815,69.0,81.0,12.0,3200000.0,0.036,0.003,0.0,0.499,0.125,0.208,0.206,-0.558,-0.952,-1.078,-0.385,-0.928,-0.859,-0.63
427,Josué Casimir,Auxerre,FRA-Ligue 1,MF,23,1522,-0.773,0.815,71.0,76.0,5.0,2800000.0,0.117,0.083,0.059,1.301,0.591,0.313,0.15,-0.303,-0.735,-1.083,-0.294,-1.126,-0.881,-0.987
428,Alessandro Marcandalli,Genoa,ITA-Serie A,DF,22,2597,-0.784,0.928,70.0,75.0,5.0,2200000.0,0.009,0.023,0.069,0.173,0.347,0.154,0.139,-1.078,-0.599,-0.25,-1.206,-0.363,-1.049,-0.945
429,Clemens Riedel,Espanyol,ESP-La Liga,DF,22,1396,-0.785,0.899,71.0,81.0,10.0,3900000.0,0.007,0.011,0.064,0.193,0.258,0.192,0.187,-1.139,-0.804,-0.332,-1.162,-0.593,-0.833,-0.628
430,Nikola Štulić,Lecce,ITA-Serie A,FW,23,1709,-0.788,0.928,70.0,76.0,6.0,2500000.0,0.248,0.111,0.158,1.738,1.053,0.33,0.071,-0.807,-0.279,-1.421,-0.931,0.008,-1.159,-0.928
431,Prosper Peter,Angers,FRA-Ligue 1,FW,17,1273,-0.79,0.815,69.0,79.0,10.0,2900000.0,0.429,0.064,0.353,1.626,0.778,0.523,0.04,0.017,-0.975,-0.646,-1.343,-0.758,-0.513,-1.31
432,Alessandro Circati,Parma,ITA-Serie A,DF,21,2664,-0.79,0.928,72.0,80.0,8.0,4900000.0,0.025,0.008,0.034,0.27,0.304,0.161,0.143,-0.714,-0.855,-0.674,-0.905,-0.464,-1.002,-0.915
433,Yoel Lago,Celta Vigo,ESP-La Liga,DF,21,938,-0.795,0.899,71.0,78.0,7.0,3500000.0,0.006,0.007,0.0,0.096,0.192,0.28,0.277,-1.172,-0.876,-1.078,-1.456,-0.746,-0.27,0.03
434,Juanlu Sánchez,Sevilla,ESP-La Liga,MF,21,1990,-0.796,0.899,,,,,0.034,0.086,0.136,0.633,0.995,0.244,0.152,-0.981,-0.625,-0.629,-1.003,-0.389,-1.074,-0.874
435,Soumaïla Coulibaly,Brest,FRA-Ligue 1,DF,21,1338,-0.805,0.815,72.0,80.0,8.0,4900000.0,0.02,0.001,0.0,0.404,0.067,0.247,0.247,-0.882,-0.988,-1.078,-0.644,-1.048,-0.633,-0.363
436,Johann Lepenant,Nantes,FRA-Ligue 1,MF,22,2173,-0.812,0.815,73.0,79.0,6.0,4900000.0,0.035,0.092,0.041,0.911,1.367,0.233,0.168,-0.999,-0.655,-1.172,-0.752,0.003,-1.234,-0.872
437,Arkadiusz Pyrka,St Pauli,GER-Bundesliga,MF,22,2576,-0.814,0.887,70.0,76.0,6.0,2400000.0,0.035,0.078,0.035,0.664,0.839,0.291,0.231,-0.972,-0.723,-1.189,-0.974,-0.659,-0.865,-0.316
438,Sekou Mara,Auxerre,FRA-Ligue 1,FW,23,1226,-0.828,0.815,70.0,77.0,7.0,3300000.0,0.224,0.081,0.367,2.423,0.661,0.376,0.099,-1.133,-0.785,-0.585,-0.413,-0.971,-1.156,-0.756
439,Vladyslav Vanat,Girona,ESP-La Liga,FW,23,1942,-0.833,0.899,77.0,82.0,5.0,16000000.0,0.337,0.098,0.324,1.251,0.556,0.41,0.075,-0.308,-0.484,-0.626,-1.63,-1.057,-0.822,-0.905
440,Mamadou Sarr,Strasbourg,FRA-Ligue 1,DF,19,1305,-0.839,0.815,,,,,0.003,0.003,0.0,0.069,0.069,0.328,0.325,-1.228,-0.959,-1.078,-1.556,-1.044,-0.159,0.155
441,Jamil Siebert,Lecce,ITA-Serie A,DF,23,1701,-0.84,0.928,70.0,78.0,8.0,3300000.0,0.025,0.017,0.053,0.317,0.159,0.124,0.104,-0.702,-0.705,-0.446,-0.759,-0.81,-1.25,-1.209
442,Alieu Fadera,Sassuolo,ITA-Serie A,FW,23,987,-0.852,0.928,71.0,77.0,6.0,3000000.0,0.215,0.08,0.274,1.185,0.638,0.369,0.161,-1.015,-0.666,-0.833,-1.666,-0.851,-0.966,0.035
443,Oscar Højlund,Frankfurt,GER-Bundesliga,MF,20,1089,-0.852,0.887,74.0,84.0,10.0,9000000.0,0.051,0.088,0.165,0.579,0.579,0.263,0.151,-0.829,-0.613,-0.478,-1.084,-1.071,-0.998,-0.895
444,Sidiki Cherif,Angers,FRA-Ligue 1,FW,18,1157,-0.858,0.815,,,,,0.22,0.047,0.311,2.178,0.389,0.443,0.198,-1.157,-1.16,-0.835,-0.698,-1.465,-0.863,0.175
445,Semih Kılıçsoy,Cagliari,ITA-Serie A,FW,19,975,-0.865,0.928,74.0,81.0,7.0,8500000.0,0.19,0.036,0.369,1.569,1.015,0.276,0.097,-1.18,-1.225,-0.347,-1.155,-0.07,-1.428,-0.651
446,Alejandro Rego,Athletic Club,ESP-La Liga,MF,22,1279,-0.865,0.899,72.0,81.0,9.0,5000000.0,0.037,0.056,0.141,0.774,0.774,0.223,0.158,-0.948,-0.94,-0.601,-0.82,-0.744,-1.175,-0.83
447,Maxime Estève,Burnley,ENG-Premier League,DF,23,2932,-0.867,1.0,76.0,82.0,6.0,11000000.0,0.014,0.022,0.0,0.307,0.184,0.136,0.132,-0.947,-0.589,-1.078,-0.717,-0.716,-1.097,-0.926
448,Lucas Høgsberg,Strasbourg,FRA-Ligue 1,DF,19,1792,-0.873,0.815,73.0,82.0,9.0,6000000.0,0.011,0.0,0.0,0.201,0.0,0.281,0.281,-1.074,-1.003,-1.078,-1.196,-1.188,-0.433,-0.137
449,Tommaso Barbieri,Cremonese,ITA-Serie A,MF,22,1707,-0.875,0.928,71.0,76.0,5.0,2700000.0,0.052,0.097,0.053,0.844,0.527,0.268,0.123,-0.793,-0.476,-1.079,-0.694,-1.113,-0.914,-1.056
450,Oliver Jensen,Parma,ITA-Serie A,MF,23,1840,-0.876,0.928,,,,,0.1,0.036,0.098,0.734,0.44,0.247,0.167,-0.329,-1.141,-0.821,-0.842,-1.258,-1.022,-0.723
451,Louis Leroux,Nantes,FRA-Ligue 1,MF,19,1441,-0.882,0.815,71.0,80.0,9.0,4000000.0,0.101,0.047,0.125,0.937,0.999,0.193,0.113,-0.438,-1.089,-0.753,-0.722,-0.532,-1.407,-1.232
452,Soungoutou Magassa,West Ham,ENG-Premier League,MF,21,981,-0.888,1.0,73.0,80.0,7.0,6000000.0,0.057,0.068,0.092,0.642,0.459,0.222,0.141,-0.705,-0.728,-0.815,-0.897,-1.168,-1.06,-0.841
453,Théo Le Bris,Lorient,FRA-Ligue 1,MF,22,1893,-0.892,0.815,73.0,80.0,7.0,6000000.0,0.092,0.066,0.19,0.808,0.618,0.218,0.126,-0.516,-0.898,-0.426,-0.873,-1.087,-1.296,-1.148
454,Junior Diaz,Brest,FRA-Ligue 1,DF,22,1562,-0.897,0.815,72.0,80.0,8.0,4900000.0,0.051,0.002,0.0,0.403,0.058,0.162,0.131,-0.255,-0.976,-1.078,-0.644,-1.068,-1.128,-1.13
455,Noah Sadiki,Sunderland,ENG-Premier League,MF,20,2889,-0.901,1.0,78.0,85.0,7.0,27500000.0,0.05,0.029,0.031,0.592,0.592,0.26,0.195,-0.772,-1.196,-1.188,-0.97,-0.93,-0.854,-0.396
456,Dayann Methalie,Toulouse,FRA-Ligue 1,MF,19,1871,-0.903,0.815,72.0,82.0,10.0,4800000.0,0.071,0.097,0.144,0.722,0.481,0.274,0.14,-0.694,-0.6,-0.656,-0.975,-1.287,-1.054,-1.055
457,Freddie Potts,West Ham,ENG-Premier League,MF,21,1171,-0.91,1.0,73.0,80.0,7.0,6000000.0,0.016,0.093,0.077,0.231,0.615,0.243,0.174,-1.128,-0.44,-0.907,-1.491,-0.889,-0.944,-0.568
458,Louis Oppie,St Pauli,GER-Bundesliga,MF,23,1620,-0.914,0.887,70.0,75.0,5.0,2200000.0,0.064,0.063,0.056,0.833,0.556,0.265,0.153,-0.704,-0.882,-1.076,-0.757,-1.107,-0.99,-0.878
